,Age,Potential,Value,Wage,Acceleration,Aggression,Agility,Balance,Ball_control,Composure,Crossing,Curve,Dribbling,Finishing,Sprint_speed,Stamina,Strength,Vision,Preferred_Positions
0,32,94.0,€95.5M,565000.0,89,63,89,63,93,95,85,81,91,94,91,92,80,85,ST LW 
3,30,92.0,€97M,510000.0,88,78,86,60,91,83,77,86,86,94,77,89,80,84,ST 
5,28,91.0,€92M,355000.0,79,80,78,80,89,87,62,77,85,91,83,79,84,78,ST 
9,29,90.0,€77M,275000.0,78,50,75,69,85,86,68,74,84,91,80,72,85,70,ST 
13,28,89.0,€67.5M,265000.0,88,80,90,87,87,86,80,78,90,85,84,85,72,83,RM LW ST LM 
16,29,89.0,€66.5M,325000.0,90,63,86,91,89,90,70,82,89,90,84,74,74,83,ST 
19,23,93.0,€79M,215000.0,88,48,91,85,93,84,80,88,92,85,84,83,65,84,ST CAM 
21,26,91.0,€75M,150000.0,87,69,90,80,86,86,82,84,87,88,86,76,61,76,LW RW ST 
23,28,88.0,€61M,165000.0,95,43,77,70,82,84,77,78,82,88,96,79,77,77,ST 
31,35,88.0,€27M,240000.0,63,84,81,41,88,91,76,82,82,87,67,71,88,83,ST 
38,30,87.0,€48.5M,160000.0,75,84,81,59,80,83,70,75,80,83,78,92,74,77,ST 
46,23,90.0,€59M,165000.0,68,74,73,62,82,84,70,71,78,90,74,85,86,75,ST 
50,24,90.0,€59M,210000.0,76,72,62,47,75,84,68,72,77,89,89,80,93,73,ST 
52,27,86.0,€47.5M,190000.0,76,57,76,72,82,83,77,81,75,87,78,90,67,81,ST CAM RW CF 
55,28,86.0,€45M,120000.0,86,49,86,81,85,83,80,90,86,86,90,68,67,86,LW ST LM 
58,28,86.0,€46M,235000.0,74,93,58,52,83,84,65,62,77,88,75,83,91,74,ST 
61,30,86.0,€43M,135000.0,93,59,94,92,88,81,77,81,89,85,87,75,42,82,ST LW CF 
64,29,86.0,€44.5M,295000.0,77,65,77,60,86,82,75,79,82,87,78,73,78,85,ST 
73,26,88.0,€48.5M,180000.0,84,70,87,84,84,86,64,74,85,87,87,80,79,74,ST 
100,24,89.0,€42M,105000.0,75,55,74,76,77,82,46,58,74,89,80,70,74,64,ST 
101,24,88.0,€41M,170000.0,78,54,62,56,84,79,73,76,83,82,86,70,82,76,ST 
113,31,84.0,€28M,115000.0,67,51,57,36,80,79,63,65,76,87,61,70,82,70,ST 
121,31,84.0,€28M,68000.0,73,75,85,75,82,87,55,83,74,87,66,68,75,68,ST 
125,29,84.0,€31M,60000.0,94,56,92,94,87,84,82,78,89,78,86,78,48,85,ST LW CF 
126,36,84.0,€11M,38000.0,69,82,53,57,80,87,54,61,79,85,70,64,83,73,ST 
127,18,94.0,€41.5M,31000.0,89,62,78,76,87,80,70,75,86,87,90,83,74,77,ST 
138,23,90.0,€37M,58000.0,80,83,79,75,78,78,42,64,78,88,83,84,85,61,ST 
145,25,87.0,€34M,135000.0,77,66,82,81,85,78,72,80,87,83,77,86,76,83,CAM CF ST 
153,29,83.0,€26M,39000.0,84,63,88,77,84,73,67,83,85,86,79,70,59,68,RW ST 
160,28,83.0,€27M,28000.0,54,72,38,35,73,78,38,62,64,87,64,84,89,68,ST 
168,30,83.0,€25M,15000.0,88,75,92,93,87,88,73,86,86,83,81,77,42,82,ST CF 
170,31,83.0,€23.5M,135000.0,68,88,67,53,77,80,72,64,74,84,76,87,87,74,LM ST 
177,33,83.0,€16.5M,21000.0,66,61,77,69,88,87,70,85,84,87,65,71,63,83,CF ST 
178,30,83.0,€25M,73000.0,88,66,82,77,80,85,70,76,76,86,86,76,64,76,ST 
202,29,82.0,€22M,100000.0,66,86,64,55,75,79,58,73,74,80,72,87,85,72,ST 
203,23,85.0,€28M,70000.0,79,69,84,91,86,85,73,80,86,78,80,67,77,78,ST CAM 
205,22,90.0,€32.5M,46000.0,93,54,82,77,89,79,75,70,87,79,92,73,76,73,ST LW 
208,21,87.0,€30.5M,68000.0,92,63,79,76,82,70,69,62,81,86,91,78,59,57,ST 
210,21,90.0,€33M,115000.0,92,59,85,82,84,80,73,83,88,81,89,79,76,74,ST LM 
212,25,85.0,€28M,76000.0,86,60,87,78,82,78,75,75,83,82,91,81,61,81,LM ST RM 
216,30,82.0,€21.5M,125000.0,76,62,76,77,81,80,60,72,79,87,78,67,74,66,ST 
235,24,85.0,€28M,95000.0,87,60,79,77,82,78,75,81,85,83,86,80,62,78,ST RM LM 
240,25,86.0,€29M,42000.0,65,65,60,50,80,73,54,68,79,84,68,67,87,63,ST 
246,27,83.0,€26M,70000.0,77,77,77,63,79,81,55,70,77,86,85,71,74,62,ST 
255,26,82.0,€24.5M,51000.0,77,70,70,50,85,79,68,78,81,84,82,66,85,70,ST 
262,29,82.0,€22M,47000.0,74,63,75,76,86,86,81,80,82,86,69,76,69,84,CAM ST CF 
269,30,82.0,€21.5M,140000.0,51,76,59,52,82,78,64,70,72,83,55,74,90,75,ST 
271,29,82.0,€22M,135000.0,84,59,81,83,79,81,62,67,76,87,75,68,53,72,ST 
278,27,82.0,€23.5M,140000.0,74,60,75,64,81,81,62,62,80,83,78,68,71,74,ST 
280,28,82.0,€22.5M,46000.0,87,57,86,79,81,79,80,80,82,81,81,68,68,80,ST RW 
292,31,82.0,€20M,85000.0,68,72,63,53,75,85,62,68,74,84,75,69,86,62,ST 
293,32,82.0,€17.5M,54000.0,77,66,84,83,87,79,73,80,87,81,68,74,63,83,ST CF 
296,35,82.0,€10M,12000.0,72,67,75,75,85,83,71,83,83,86,67,76,66,75,ST 
299,20,92.0,€31M,115000.0,89,56,93,92,85,84,66,76,87,83,85,84,63,75,ST 
305,26,83.0,€22M,50000.0,78,73,79,77,84,77,70,68,86,82,69,76,68,66,LW ST 
307,23,87.0,€24.5M,31000.0,92,66,78,43,81,71,78,49,82,78,94,77,84,75,LW ST RW 
316,30,81.0,€17M,89000.0,91,92,78,77,76,79,63,59,76,83,91,88,68,72,ST 
322,26,82.0,€21M,44000.0,79,85,77,69,80,68,52,68,76,82,79,76,86,66,ST 
329,26,82.0,€21M,26000.0,84,55,91,86,83,82,73,80,85,84,83,76,57,76,ST 
330,28,81.0,€18.5M,135000.0,80,67,74,75,82,76,74,83,81,83,81,73,73,76,ST 
332,26,84.0,€22.5M,45000.0,86,62,80,69,82,73,74,68,80,81,88,72,79,73,LM ST 
359,29,81.0,€18M,84000.0,69,70,69,58,79,78,60,64,74,85,77,79,78,66,ST 
361,26,83.0,€22M,75000.0,70,63,69,48,80,78,58,60,73,79,76,74,90,73,ST 
364,29,81.0,€18M,44000.0,53,83,50,34,78,80,60,72,75,82,62,71,90,66,ST 
367,27,82.0,€21M,48000.0,75,50,80,69,88,80,72,85,85,80,78,68,72,78,CAM ST 
378,30,81.0,€17M,88000.0,79,61,85,79,83,78,74,80,89,75,73,67,72,78,ST CAM 
380,31,81.0,€16M,84000.0,74,80,66,59,73,80,72,77,75,86,71,72,89,72,ST 
387,31,81.0,€15.5M,120000.0,67,81,71,77,80,88,78,84,73,80,68,78,83,80,ST CAM 
390,33,81.0,€11M,68000.0,74,62,74,54,81,69,68,80,82,77,77,61,76,76,ST 
391,36,81.0,€6.5M,22000.0,73,75,78,74,78,84,69,78,80,85,75,65,70,75,ST 
392,19,89.0,€22M,74000.0,93,67,90,78,79,74,72,74,83,79,92,83,73,73,RM ST LM 
411,24,86.0,€20.5M,41000.0,81,59,79,78,78,76,76,79,78,82,84,83,80,78,RM RW ST 
414,24,83.0,€19M,36000.0,77,38,78,67,81,71,69,70,80,79,80,66,72,69,RM ST 
417,23,85.0,€20M,120000.0,77,61,78,78,77,81,65,61,76,83,80,65,82,63,ST 
422,27,80.0,€16M,42000.0,78,65,91,77,80,78,75,76,76,82,78,82,61,78,ST 
425,24,83.0,€19M,59000.0,78,75,73,84,81,80,78,79,79,80,77,88,82,81,LW RW ST 
429,26,83.0,€18.5M,26000.0,87,50,86,77,85,70,60,77,86,80,90,75,80,73,ST 
435,27,81.0,€17.5M,31000.0,63,66,68,66,80,67,70,55,74,83,68,83,83,72,ST 
440,26,81.0,€17.5M,66000.0,84,66,77,76,79,75,76,80,81,80,83,80,66,76,LW ST LM 
449,27,81.0,€17.5M,120000.0,82,75,86,76,78,70,73,66,83,74,87,78,86,65,RWB RM ST 
451,27,80.0,€16M,89000.0,73,74,69,48,78,76,48,53,75,77,76,68,89,53,ST 
457,27,81.0,€17.5M,59000.0,89,67,75,66,78,73,56,78,77,82,85,74,75,75,ST 
458,26,81.0,€17.5M,130000.0,83,75,82,63,78,76,69,61,80,75,84,81,78,72,ST 
466,30,80.0,€14.5M,80000.0,86,60,81,80,85,78,72,80,83,81,84,74,60,78,LW ST 
472,30,80.0,€0,0.0,74,61,71,71,77,75,56,66,72,82,75,69,76,66,CF ST 
476,30,80.0,€14.5M,41000.0,73,82,77,68,83,80,75,81,79,75,73,67,82,76,CAM LM ST 
494,28,80.0,€15M,125000.0,92,65,83,79,78,78,74,76,81,77,91,73,62,72,ST LM RM 
497,32,80.0,€12M,41000.0,53,83,65,59,76,79,65,73,72,85,53,64,79,73,ST 
499,31,80.0,€13M,38000.0,69,35,77,78,85,79,69,72,87,83,67,67,68,75,ST LM 
502,32,80.0,€12M,13000.0,79,70,69,72,78,79,75,80,78,82,77,68,78,78,CAM RM ST 
516,34,80.0,€8M,87000.0,77,63,83,88,77,84,54,63,78,87,72,72,61,67,ST 
521,26,81.0,€15.5M,21000.0,82,90,74,77,77,79,52,69,74,80,87,86,83,58,ST 
523,24,84.0,€17M,31000.0,79,83,78,69,76,86,62,58,73,79,78,87,75,67,ST 
534,22,87.0,€19M,60000.0,85,41,87,83,85,71,64,82,87,82,79,67,59,69,RW RM CAM ST 
539,23,84.0,€17M,15000.0,73,65,73,60,77,74,78,86,77,79,76,76,72,75,CM ST CAM 
551,25,83.0,€16.5M,39000.0,79,41,72,69,78,70,61,72,76,80,82,68,71,58,CAM RM ST 
552,21,85.0,€17.5M,65000.0,85,62,86,72,86,77,68,77,85,68,90,73,64,74,ST RW 
553,23,86.0,€18M,60000.0,76,66,78,88,85,71,66,83,86,82,75,67,57,73,ST 
561,23,86.0,€18M,71000.0,70,67,68,63,76,72,58,71,71,86,75,75,71,60,ST 
568,26,81.0,€15.5M,80000.0,80,76,64,61,81,72,45,66,80,75,81,68,83,75,ST 
575,25,82.0,€16M,43000.0,84,68,87,87,80,76,68,76,84,80,82,72,65,79,RM LM ST 
587,23,85.0,€17.5M,150000.0,72,59,76,78,79,69,53,66,72,81,73,64,63,63,ST 
590,26,81.0,€15.5M,25000.0,76,60,65,64,80,83,68,69,78,79,78,84,81,76,ST 
594,25,83.0,€16.5M,98000.0,74,57,73,56,82,71,70,78,80,82,74,69,75,72,ST 
606,26,81.0,€15.5M,80000.0,85,67,82,72,80,78,68,74,80,80,85,76,63,71,RW ST 
614,28,79.0,€13M,92000.0,63,68,67,71,75,77,45,66,72,80,68,73,90,65,ST 
617,28,79.0,€13M,59000.0,72,79,59,53,78,75,61,40,72,80,77,66,87,65,ST 
618,27,80.0,€14.5M,34000.0,76,52,74,76,79,78,69,66,79,80,76,82,76,71,ST 
620,29,79.0,€12.5M,26000.0,90,62,70,70,77,80,46,79,79,77,91,78,73,74,CF ST 
631,29,79.0,€12.5M,52000.0,53,88,53,50,74,72,49,55,65,83,65,68,90,47,ST 
644,26,80.0,€15M,82000.0,78,30,84,85,78,74,68,83,77,70,75,67,43,81,ST CAM 
647,27,79.0,€13M,110000.0,76,78,86,81,79,74,77,74,78,73,75,86,71,75,CAM ST RM 
659,28,79.0,€13M,15000.0,87,53,88,90,83,76,73,73,79,78,86,66,45,70,ST CAM CF 
663,31,79.0,€11.5M,24000.0,77,62,72,68,82,77,71,54,72,81,77,75,79,80,ST 
671,31,79.0,€11.5M,77000.0,66,52,59,58,78,82,61,61,72,80,68,65,82,69,ST 
679,31,79.0,€11.5M,67000.0,62,78,67,60,75,69,50,68,71,80,63,63,87,66,ST 
684,33,79.0,€8M,24000.0,76,72,77,82,77,76,57,68,78,81,73,75,76,72,CAM ST 
695,21,86.0,€15.5M,77000.0,75,76,77,72,78,70,59,69,77,75,85,85,74,66,ST 
696,19,88.0,€16.5M,10000.0,73,44,75,70,79,80,42,67,76,78,79,71,77,69,CAM ST 
704,28,78.0,€10.5M,49000.0,74,67,69,69,76,71,66,69,71,80,73,82,84,70,ST 
714,21,86.0,€15.5M,23000.0,79,32,81,75,83,76,67,73,82,80,81,70,76,72,ST 
719,24,83.0,€14M,13000.0,91,40,91,85,80,77,73,75,83,65,92,64,37,75,ST RM LM 
723,26,81.0,€13M,67000.0,69,58,64,58,76,73,44,46,72,81,76,69,90,47,ST 
724,27,79.0,€12M,29000.0,78,64,76,66,73,74,61,67,74,80,84,77,72,69,ST 
725,23,84.0,€14.5M,18000.0,61,48,72,72,86,83,78,75,86,77,63,74,75,83,ST CAM CF 
727,22,85.0,€15M,92000.0,82,69,75,61,75,70,69,54,77,79,84,74,82,71,RW LW ST 
744,24,81.0,€13.5M,10000.0,89,73,90,92,79,75,59,72,82,82,90,76,74,65,ST 
755,23,82.0,€13.5M,53000.0,87,69,79,83,80,72,67,72,76,77,79,84,74,73,ST CAM 
757,26,80.0,€12.5M,16000.0,75,80,76,51,77,74,69,70,74,75,77,81,81,71,ST 
